"S_No","Year","Month","Country","Product_ID","Monthly_Expense"
1,2013,1,"England",4,183.482
2,2013,2,"England",4,170.041
3,2013,3,"England",4,180.388
4,2013,4,"England",4,189.041
5,2013,5,"England",4,187.728
6,2013,6,"England",4,207.92
7,2013,7,"England",4,170.853
8,2013,8,"England",4,170.292
9,2013,9,"England",4,177.31
10,2013,10,"England",4,189.856
11,2013,11,"England",4,196.943
12,2013,12,"England",4,200.066
13,2014,1,"England",4,170.244
14,2014,2,"England",4,172.619
15,2014,3,"England",4,187.959
16,2014,4,"England",4,191.476
17,2014,5,"England",4,176.118
18,2014,6,"England",4,182.987
19,2014,7,"England",4,190.956
20,2014,8,"England",4,170.629
21,2014,9,"England",4,187.279
22,2014,10,"England",4,185.283
23,2014,11,"England",4,185.804
24,2014,12,"England",4,185.654
25,2015,1,"England",4,188.135
26,2015,2,"England",4,153.179
27,2015,3,"England",4,177.187
28,2015,4,"England",4,179.485
29,2015,5,"England",4,163.298
30,2015,6,"England",4,174.837
31,2015,7,"England",4,191.911
32,2015,8,"England",4,153.892
33,2015,9,"England",4,178.459
34,2015,10,"England",4,174.667
35,2015,11,"England",4,171.166
36,2015,12,"England",4,194.468
37,2016,1,"England",4,162.639
38,2016,2,"England",4,163.553
39,2016,3,"England",4,174.685
40,2016,4,"England",4,172.181
41,2016,5,"England",4,175.224
42,2016,6,"England",4,181.402
43,2016,7,"England",4,157.756
