"S_No","Year","Month","Country","Product_ID","Monthly_Sales"
1,2013,1,"England",4,166907.57
2,2013,2,"England",4,140685.22
3,2013,3,"England",4,159316.9
4,2013,4,"England",4,179295.95
5,2013,5,"England",4,175741.65
6,2013,6,"England",4,220876.69
7,2013,7,"England",4,141593.55
8,2013,8,"England",4,140405.45
9,2013,9,"England",4,154773.56
10,2013,10,"England",4,179950.39
11,2013,11,"England",4,194881.62
12,2013,12,"England",4,200694.95
13,2014,1,"England",4,139593.24
14,2014,2,"England",4,144619.53
15,2014,3,"England",4,175208.44
16,2014,4,"England",4,181910.4
17,2014,5,"England",4,151092.4
18,2014,6,"England",4,164419.59
19,2014,7,"England",4,181833.87
20,2014,8,"England",4,139770.59
21,2014,9,"England",4,173861.19
22,2014,10,"England",4,169238.25
23,2014,11,"England",4,172209.52
24,2014,12,"England",4,190486.77
25,2015,1,"England",4,195201
26,2015,2,"England",4,116495.4
27,2015,3,"England",4,171654.87
28,2015,4,"England",4,175965.8
29,2015,5,"England",4,146318.87
30,2015,6,"England",4,168604.45
31,2015,7,"England",4,202965.67
32,2015,8,"England",4,117529.03
33,2015,9,"England",4,175108.6
34,2015,10,"England",4,164722.15
