"S_No","Year","Month","Country","Product_ID","Monthly_Expense"
1,2013,1,"Columbia",2,1436.726
2,2013,2,"Columbia",2,1250.836
3,2013,3,"Columbia",2,1407.936
4,2013,4,"Columbia",2,1558.911
5,2013,5,"Columbia",2,1667.862
6,2013,6,"Columbia",2,1601.27
7,2013,7,"Columbia",2,2003.423
8,2013,8,"Columbia",2,1599.478
9,2013,9,"Columbia",2,1791.906
10,2013,10,"Columbia",2,1865.91
11,2013,11,"Columbia",2,2030.454
12,2013,12,"Columbia",2,2010.004
13,2014,1,"Columbia",2,2367.68
14,2014,2,"Columbia",2,2247.186
15,2014,3,"Columbia",2,2133.164
16,2014,4,"Columbia",2,2493.658
17,2014,5,"Columbia",2,2584.325
18,2014,6,"Columbia",2,2686.815
19,2014,7,"Columbia",2,2850.069
20,2014,8,"Columbia",2,2632.626
21,2014,9,"Columbia",2,2853.217
22,2014,10,"Columbia",2,2889.495
23,2014,11,"Columbia",2,2707.814
24,2014,12,"Columbia",2,2943.855
25,2015,1,"Columbia",2,3224.534
26,2015,2,"Columbia",2,2789.498
27,2015,3,"Columbia",2,3440.901
28,2015,4,"Columbia",2,3037.194
29,2015,5,"Columbia",2,3004.249
30,2015,6,"Columbia",2,3291.362
31,2015,7,"Columbia",2,3509.448
32,2015,8,"Columbia",2,2859.274
33,2015,9,"Columbia",2,3324.522
34,2015,10,"Columbia",2,3168.865
35,2015,11,"Columbia",2,3384.614
36,2015,12,"Columbia",2,3276.23
37,2016,1,"Columbia",2,3435.625
38,2016,2,"Columbia",2,3060.411
39,2016,3,"Columbia",2,3533.644
40,2016,4,"Columbia",2,3262.763
41,2016,5,"Columbia",2,3484.177
42,2016,6,"Columbia",2,3525.917
43,2016,7,"Columbia",2,3856.195
44,2016,8,"Columbia",2,3170.702
45,2016,9,"Columbia",2,3591.035
46,2016,10,"Columbia",2,3526.675
47,2016,11,"Columbia",2,3728.492
48,2016,12,"Columbia",2,3454.903
49,2017,1,"Columbia",2,3738
50,2017,2,"Columbia",2,3303.168
51,2017,3,"Columbia",2,3923.139
