"S_No","Year","Month","Country","Product_ID","Monthly_Sales"
1,2013,1,"Finland",4,15153419.52
2,2013,2,"Finland",4,16524812.16
3,2013,3,"Finland",4,28217082.24
4,2013,4,"Finland",4,22522665.6
5,2013,5,"Finland",4,32942280.96
6,2013,6,"Finland",4,19155934.08
7,2013,7,"Finland",4,27180092.16
8,2013,8,"Finland",4,27492566.4
9,2013,9,"Finland",4,33901217.28
10,2013,10,"Finland",4,30052978.56
11,2013,11,"Finland",4,37328238.72
12,2013,12,"Finland",4,25899212.16
13,2014,1,"Finland",4,28468419.84
14,2014,2,"Finland",4,18218511.36
15,2014,3,"Finland",4,39838901.76
16,2014,4,"Finland",4,33158501.77
17,2014,5,"Finland",4,23801300.73
18,2014,6,"Finland",4,27895262.62
19,2014,7,"Finland",4,30143145.19
20,2014,8,"Finland",4,26633523.87
21,2014,9,"Finland",4,38019992.88
22,2014,10,"Finland",4,23672488.22
23,2014,11,"Finland",4,25217203.55
24,2014,12,"Finland",4,30169071.14
25,2015,1,"Finland",4,30706372.78
26,2015,2,"Finland",4,50113926.02
27,2015,3,"Finland",4,9044923.37
28,2015,4,"Finland",4,31067217.98
29,2015,5,"Finland",4,24446467.61
30,2015,6,"Finland",4,31931776.3
31,2015,7,"Finland",4,28287106.21
32,2015,8,"Finland",4,28765114.99
33,2015,9,"Finland",4,28817795.16
34,2015,10,"Finland",4,31268810.86
