"S_No","Year","Month","Country","Product_ID","Monthly_Expense"
1,2013,1,"Denmark",2,43843.906
2,2013,2,"Denmark",2,37731.35
3,2013,3,"Denmark",2,40274.631
4,2013,4,"Denmark",2,45275.841
5,2013,5,"Denmark",2,46157.179
6,2013,6,"Denmark",2,36095.113
7,2013,7,"Denmark",2,46667.272
8,2013,8,"Denmark",2,40444.104
9,2013,9,"Denmark",2,50045.629
10,2013,10,"Denmark",2,46030.221
11,2013,11,"Denmark",2,42643.547
12,2013,12,"Denmark",2,37461.862
13,2014,1,"Denmark",2,53041.901
14,2014,2,"Denmark",2,33749.332
15,2014,3,"Denmark",2,43291.54
16,2014,4,"Denmark",2,43210.845
17,2014,5,"Denmark",2,45318.135
18,2014,6,"Denmark",2,54103.301
19,2014,7,"Denmark",2,56144.548
20,2014,8,"Denmark",2,48919.05
21,2014,9,"Denmark",2,55753.775
22,2014,10,"Denmark",2,56694.275
23,2014,11,"Denmark",2,46988.786
24,2014,12,"Denmark",2,59005.861
25,2015,1,"Denmark",2,56134.354
26,2015,2,"Denmark",2,46304.89
27,2015,3,"Denmark",2,62489.301
28,2015,4,"Denmark",2,61485.779
29,2015,5,"Denmark",2,55469.158
30,2015,6,"Denmark",2,74418.107
31,2015,7,"Denmark",2,51061.811
32,2015,8,"Denmark",2,66816.85
33,2015,9,"Denmark",2,68813.706
34,2015,10,"Denmark",2,63104.573
35,2015,11,"Denmark",2,63298.225
36,2015,12,"Denmark",2,80201.526
37,2016,1,"Denmark",2,48144.265
38,2016,2,"Denmark",2,62181.002
39,2016,3,"Denmark",2,73427.088
40,2016,4,"Denmark",2,66175.264
41,2016,5,"Denmark",2,84161.794
42,2016,6,"Denmark",2,73109.054
43,2016,7,"Denmark",2,65278.447
44,2016,8,"Denmark",2,75939.881
45,2016,9,"Denmark",2,73905.232
46,2016,10,"Denmark",2,78101.986
47,2016,11,"Denmark",2,71397.279
48,2016,12,"Denmark",2,70794.598
49,2017,1,"Denmark",2,61985.791
50,2017,2,"Denmark",2,57087.558
51,2017,3,"Denmark",2,67228.892
