"S_No","Year","Month","Country","Product_ID","Monthly_Sales"
1,2013,1,"Belgium",2,314850.13
2,2013,2,"Belgium",2,435185.52
3,2013,3,"Belgium",2,268694.09
4,2013,4,"Belgium",2,461560.4
5,2013,5,"Belgium",2,464857.26
6,2013,6,"Belgium",2,403865.35
7,2013,7,"Belgium",2,669262.58
8,2013,8,"Belgium",2,478044.7
9,2013,9,"Belgium",2,550575.62
10,2013,10,"Belgium",2,591786.37
11,2013,11,"Belgium",2,507716.44
12,2013,12,"Belgium",2,558817.77
13,2014,1,"Belgium",2,621458.11
14,2014,2,"Belgium",2,743441.93
15,2014,3,"Belgium",2,565411.49
16,2014,4,"Belgium",2,914878.65
17,2014,5,"Belgium",2,778058.96
18,2014,6,"Belgium",2,555981.9
19,2014,7,"Belgium",2,1213244.48
20,2014,8,"Belgium",2,665965.72
21,2014,9,"Belgium",2,807730.7
22,2014,10,"Belgium",2,809379.13
23,2014,11,"Belgium",2,1078073.22
24,2014,12,"Belgium",2,1160494.72
25,2015,1,"Belgium",2,768168.38
26,2015,2,"Belgium",2,911579.06
27,2015,3,"Belgium",2,1003893.87
28,2015,4,"Belgium",2,1152252.57
29,2015,5,"Belgium",2,974222.13
30,2015,6,"Belgium",2,1130822.98
31,2015,7,"Belgium",2,1368196.9
32,2015,8,"Belgium",2,1213244.48
33,2015,9,"Belgium",2,847293.02
34,2015,10,"Belgium",2,1259400.52
35,2015,11,"Belgium",2,1158546.58
36,2015,12,"Belgium",2,1660268.72
37,2016,1,"Belgium",2,972174.24
38,2016,2,"Belgium",2,1087259.28
39,2016,3,"Belgium",2,1424461.63
